MetaName,AlgoConfig,Timeout,Parameters,StartSol_Profit,MH_Profit,Runtime
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1,  8, 30, ..., 59, 70, -1])}",30.0,"{'alpha': 0.85, 'epsilon': 0.0001, 'neighborhood': 'select_worst_n_weeks', 'temperature': 10000}",388144.0,396388.0,28.171875
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1,  8, 30, ..., 59, 70, -1])}",30.0,"{'alpha': 0.85, 'epsilon': 0.0001, 'neighborhood': 'random_swap_within_week', 'temperature': 10000}",388144.0,388395.0,27.859375
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1,  8, 30, ..., 59, 70, -1])}",30.0,"{'alpha': 0.85, 'epsilon': 0.001, 'neighborhood': 'select_worst_n_weeks', 'temperature': 20000}",388144.0,397767.0,28.359375
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1,  8, 30, ..., 59, 70, -1])}",30.0,"{'alpha': 0.85, 'epsilon': 0.001, 'neighborhood': 'random_swap_within_week', 'temperature': 20000}",388144.0,388344.0,27.890625
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1,  8, 30, ..., 59, 70, -1])}",30.0,"{'alpha': 0.85, 'epsilon': 0.0001, 'neighborhood': 'select_worst_n_weeks', 'temperature': 20000}",388144.0,401853.0,28.515625
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1,  8, 30, ..., 59, 70, -1])}",30.0,"{'alpha': 0.85, 'epsilon': 0.0001, 'neighborhood': 'random_swap_within_week', 'temperature': 20000}",388144.0,388451.0,27.71875
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1,  8, 30, ..., 59, 70, -1])}",30.0,"{'alpha': 0.95, 'epsilon': 0.001, 'neighborhood': 'select_worst_n_weeks', 'temperature': 10000}",388144.0,396049.0,28.171875
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1, 32, 23, ..., 48, 70, -1])}",30.0,"{'alpha': 0.85, 'epsilon': 0.001, 'neighborhood': 'select_worst_n_weeks', 'temperature': 10000}",385871.0,396475.0,28.203125
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1, 32, 23, ..., 48, 70, -1])}",30.0,"{'alpha': 0.95, 'epsilon': 0.001, 'neighborhood': 'random_swap_within_week', 'temperature': 10000}",385871.0,386431.0,27.9375
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1, 32, 23, ..., 48, 70, -1])}",30.0,"{'alpha': 0.95, 'epsilon': 0.0001, 'neighborhood': 'select_worst_n_weeks', 'temperature': 10000}",385871.0,394106.0,28.21875
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1, 32, 23, ..., 48, 70, -1])}",30.0,"{'alpha': 0.95, 'epsilon': 0.0001, 'neighborhood': 'random_swap_within_week', 'temperature': 10000}",385871.0,385940.0,27.75
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1, 32, 23, ..., 48, 70, -1])}",30.0,"{'alpha': 0.95, 'epsilon': 0.001, 'neighborhood': 'select_worst_n_weeks', 'temperature': 20000}",385871.0,400064.0,28.609375
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1, 32, 23, ..., 48, 70, -1])}",30.0,"{'alpha': 0.95, 'epsilon': 0.001, 'neighborhood': 'random_swap_within_week', 'temperature': 20000}",385871.0,386131.0,27.6875
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1, 32, 23, ..., 48, 70, -1])}",30.0,"{'alpha': 0.95, 'epsilon': 0.0001, 'neighborhood': 'select_worst_n_weeks', 'temperature': 20000}",385871.0,396475.0,28.296875
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1, 32, 23, ..., 48, 70, -1])}",30.0,"{'alpha': 0.95, 'epsilon': 0.0001, 'neighborhood': 'random_swap_within_week', 'temperature': 20000}",385871.0,386213.0,27.984375
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1, 32, 23, ..., 48, 70, -1])}",30.0,"{'alpha': 0.85, 'epsilon': 0.001, 'neighborhood': 'random_swap_within_week', 'temperature': 10000}",385871.0,386224.0,27.75
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1, 32, 23, ..., 48, 70, -1])}",30.0,"{'alpha': 0.85, 'epsilon': 0.0001, 'neighborhood': 'select_worst_n_weeks', 'temperature': 10000}",385871.0,397559.0,28.296875
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1, 32, 23, ..., 48, 70, -1])}",30.0,"{'alpha': 0.85, 'epsilon': 0.0001, 'neighborhood': 'random_swap_within_week', 'temperature': 10000}",385871.0,386191.0,27.8125
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1, 32, 23, ..., 48, 70, -1])}",30.0,"{'alpha': 0.85, 'epsilon': 0.001, 'neighborhood': 'select_worst_n_weeks', 'temperature': 20000}",385871.0,397559.0,28.28125
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1, 32, 23, ..., 48, 70, -1])}",30.0,"{'alpha': 0.85, 'epsilon': 0.001, 'neighborhood': 'random_swap_within_week', 'temperature': 20000}",385871.0,386355.0,27.828125
simulated_annealing,"{'n': 100, 't': 0.666, 's': 4, 'r': 2, 'p': array([-1, 32, 23, ..., 48, 70, -1])}",30.0,"{'alpha': 0.85, 'epsilon': 0.0001, 'neighborhood': 'select_worst_n_weeks', 'temperature': 20000}",385871.0,397559.0,28.3125
